label,URL,amaa,crossvalidation,attributelength,qualitycontrol,regexlearner,none
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=ssedgmond1o%40va.gov,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=50%3AFD%3AE4%3AA9%3AC8%3ACC&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=50%3AFD%3AE4%3AA9%3AC8%3ACC&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=50%3AFD%3AE4%3AA9%3AC8%3ACC&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=50%3AFD%3AE4%3AA9%3AC8%3ACC&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=50%3AFD%3AE4%3AA9%3AC8%3ACC,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=112.45.108.79&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=112.45.108.79&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=112.45.108.79&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=112.45.108.79&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=112.45.108.79,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=189.238.192.177&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=189.238.192.177&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=189.238.192.177&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=189.238.192.177&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=189.238.192.177,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=B2%3AC1%3AEF%3AD0%3AF0%3ADF&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=B2%3AC1%3AEF%3AD0%3AF0%3ADF&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=B2%3AC1%3AEF%3AD0%3AF0%3ADF&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=B2%3AC1%3AEF%3AD0%3AF0%3ADF&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=B2%3AC1%3AEF%3AD0%3AF0%3ADF,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=159.193.89.168&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=159.193.89.168&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=159.193.89.168&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=159.193.89.168&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=159.193.89.168,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=Mushrooms+-+Honey&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=Mushrooms+-+Honey&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=Mushrooms+-+Honey&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=Mushrooms+-+Honey&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=Mushrooms+-+Honey,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=82&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=82&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=82&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=82&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=82,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=SELECT+*+FROM+*&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=SELECT+*+FROM+*&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=SELECT+*+FROM+*&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=SELECT+*+FROM+*&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=SELECT+*+FROM+*,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=246.5.216.47&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=246.5.216.47&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=246.5.216.47&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=246.5.216.47&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=246.5.216.47,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=17%3AC4%3AEB%3AEF%3A11%3A8C&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=17%3AC4%3AEB%3AEF%3A11%3A8C&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=17%3AC4%3AEB%3AEF%3A11%3A8C&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=17%3AC4%3AEB%3AEF%3A11%3A8C&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=17%3AC4%3AEB%3AEF%3A11%3A8C,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=SELECT+*+FROM+*&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=SELECT+*+FROM+*&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=SELECT+*+FROM+*&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=SELECT+*+FROM+*&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=SELECT+*+FROM+*,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=SELECT+*+FROM+*&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=SELECT+*+FROM+*&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=SELECT+*+FROM+*&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=SELECT+*+FROM+*&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=SELECT+*+FROM+*,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=80.150.165.127&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=80.150.165.127&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=80.150.165.127&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=80.150.165.127&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=80.150.165.127,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=Relish&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=Relish&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=Relish&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=Relish&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=Relish,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=78.118.129.77&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=78.118.129.77&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=78.118.129.77&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=78.118.129.77&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=78.118.129.77,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=27%3ACD%3A29%3A68%3ABC%3A5A&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=27%3ACD%3A29%3A68%3ABC%3A5A&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=27%3ACD%3A29%3A68%3ABC%3A5A&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=27%3ACD%3A29%3A68%3ABC%3A5A&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=27%3ACD%3A29%3A68%3ABC%3A5A,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=SELECT+*+FROM+*&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=SELECT+*+FROM+*&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=SELECT+*+FROM+*&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=SELECT+*+FROM+*&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=SELECT+*+FROM+*,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=Drambuie&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=Drambuie&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=Drambuie&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=Drambuie&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=Drambuie,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=error%3A+Illegal+quoting+in+line+1.&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=error%3A+Illegal+quoting+in+line+1.&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=error%3A+Illegal+quoting+in+line+1.&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=error%3A+Illegal+quoting+in+line+1.&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=error%3A+Illegal+quoting+in+line+1.,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=150.234.184.214&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=150.234.184.214&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=150.234.184.214&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=150.234.184.214&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=150.234.184.214,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=SELECT+*+FROM+*&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=SELECT+*+FROM+*&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=SELECT+*+FROM+*&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=SELECT+*+FROM+*&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=SELECT+*+FROM+*,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=43&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=43&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=43&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=43&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=43,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=SELECT+*+FROM+*&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=SELECT+*+FROM+*&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=SELECT+*+FROM+*&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=SELECT+*+FROM+*&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=SELECT+*+FROM+*,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=error%3A+Illegal+quoting+in+line+1.&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=error%3A+Illegal+quoting+in+line+1.&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=error%3A+Illegal+quoting+in+line+1.&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=error%3A+Illegal+quoting+in+line+1.&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=error%3A+Illegal+quoting+in+line+1.,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=28&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=28&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=28&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=28&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=28,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
